Duke,duke
NC Central,north-carolina-central
North Dakota State,north-dakota-state
VCU,virginia-commonwealth
UCF,central-florida
Mississippi State,mississippi-state
Liberty,liberty
Virginia Tech,virginia-tech
Saint Louis,saint-louis
Maryland,maryland
Belmont,belmont
Temple,temple
LSU,louisiana-state
Yale,yale
Louisville,louisville
Minnesota,minnesota
Michigan State,michigan-state
Bradley,bradley
Gonzaga,gonzaga
Fairleigh Dickinson,fairleigh-dickinson
Prairie View,prairie-view
Syracuse,syracuse
Baylor,baylor
Marquette,marquette
Murray State,murray-state
Florida State,florida-state
Vermont,vermont
Buffalo,buffalo
Arizona State,arizona-state
Saint John's,st-johns-ny
Texas Tech,texas-tech
N. Kentucky,northern-kentucky
Nevada,nevada
Florida,florida
Michigan,michigan
Montana,montana
Virginia,virginia
Gardner-Webb,gardner-webb
Ole Miss,mississippi
Oklahoma,oklahoma
Wisconsin,wisconsin
Oregon,oregon
Kansas State,kansas-state
UC Irvine,california-irvine
Villanova,villanova
St. Mary's,saint-marys-ca
Purdue,purdue
Old Dominion,old-dominion
Cincinnati,cincinnati
Iowa,iowa
Tennessee,tennessee
Colgate,colgate
North Carolina,north-carolina
Iona,iona
Utah State,utah-state
Washington,washington
Auburn,auburn
New Mexico State,new-mexico-state
Kansas,kansas
Northeastern,northeastern
Iowa State,iowa-state
Ohio State,ohio-state
Houston,houston
Georgia State,georgia-state
Wofford,wofford
Seton Hall,seton-hall
Kentucky,kentucky
Abilene Christian,abilene-christian
